episode,timestep,reward
90,2000,22.0
180,4000,22.1444
243,6000,31.9365
309,8000,30.5152
345,10000,54.6944
374,12000,69.8276
388,14000,138.4286
403,16000,134.0667
416,18000,137.0769
431,20000,146.2667
441,22000,198.1
454,24000,153.2308
463,26000,225.6667
477,28000,142.7143
486,30000,221.7778
494,32000,253.75
500,34000,328.5
507,36000,295.8571
513,38000,317.0
521,40000,260.125
527,42000,301.6667
533,44000,342.3333
538,46000,396.4
543,48000,415.2
547,50000,446.0
552,52000,447.8
556,54000,498.25
560,56000,492.25
564,58000,482.25
568,60000,467.25
572,62000,500.0
577,64000,432.8
581,66000,494.75
585,68000,468.25
590,70000,420.0
594,72000,494.25
