episode,timestep,reward
98,2000,20.2449
192,4000,21.3617
279,6000,23.0115
368,8000,22.1461
454,10000,23.5116
538,12000,23.8095
628,14000,22.2444
719,16000,21.9011
842,18000,16.3171
970,20000,15.5859
