episode,timestep,reward
93,2000,21.3871
179,4000,23.3605
313,6000,14.8881
454,8000,14.1064
636,10000,11.0714
818,12000,10.9725
1018,14000,10.015
1219,16000,9.9453
1425,18000,9.699
1628,20000,9.8374
1835,22000,9.6715
2043,24000,9.6394
2248,26000,9.7561
2452,28000,9.7941
2654,30000,9.8911
