episode,timestep,reward
77,2000,25.1948
158,4000,25.4198
231,6000,27.1918
319,8000,22.8295
390,10000,28.1268
470,12000,24.95
550,14000,25.0
625,16000,26.6267
767,18000,14.1479
922,20000,12.8387
1037,22000,17.5391
1154,24000,16.9658
1270,26000,17.3534
1392,28000,16.3934
1588,30000,10.2041
1781,32000,10.3472
1962,34000,11.0497
2143,36000,11.0608
