episode,timestep,reward
85,2000,23.4824
166,4000,24.5432
279,6000,17.7876
378,8000,20.2525
474,10000,20.8125
559,12000,23.2824
639,14000,25.0125
732,16000,21.3441
890,18000,12.8797
1044,20000,12.987
1178,22000,14.9403
