episode,timestep,reward
105,2000,18.7429
203,4000,20.7245
269,6000,30.1818
339,8000,28.3
382,10000,45.4884
416,12000,59.3824
436,14000,98.65
453,16000,118.9412
465,18000,164.5
477,20000,169.8333
486,22000,217.2222
494,24000,245.5
504,26000,198.6
514,28000,192.3
519,30000,402.6
524,32000,358.6
531,34000,326.2857
537,36000,330.8333
544,38000,305.4286
549,40000,369.8
553,42000,471.25
557,44000,493.25
562,46000,389.2
567,48000,444.8
571,50000,480.0
575,52000,474.0
581,54000,382.1667
585,56000,408.5
590,58000,426.4
595,60000,429.6
600,62000,398.2
604,64000,457.0
609,66000,441.6
613,68000,451.25
618,70000,432.4
622,72000,500.0
626,74000,492.0
630,76000,497.25
635,78000,417.0
639,80000,485.0
643,82000,500.0
647,84000,492.25
651,86000,500.0
655,88000,497.75
659,90000,500.0
663,92000,446.25
667,94000,500.0
671,96000,500.0
676,98000,458.4
680,100000,476.5
684,102000,500.0
688,104000,500.0
692,106000,500.0
696,108000,500.0
700,110000,500.0
704,112000,500.0
708,114000,500.0
712,116000,500.0
717,118000,405.8
721,120000,500.0
725,122000,480.5
729,124000,449.25
733,126000,500.0
737,128000,500.0
742,130000,450.2
746,132000,500.0
750,134000,478.75
755,136000,431.6
759,138000,500.0
763,140000,436.25
767,142000,500.0
772,144000,437.2
776,146000,500.0
780,148000,500.0
784,150000,429.5
788,152000,500.0
792,154000,500.0
797,156000,488.2
801,158000,492.0
805,160000,500.0
809,162000,500.0
814,164000,384.8
818,166000,500.0
823,168000,424.8
827,170000,500.0
831,172000,500.0
835,174000,498.0
839,176000,497.5
845,178000,300.5
850,180000,417.2
855,182000,424.4
859,184000,438.75
863,186000,455.25
868,188000,444.4
872,190000,458.25
876,192000,488.0
880,194000,500.0
885,196000,433.6
889,198000,500.0
893,200000,500.0
897,202000,484.25
901,204000,500.0
905,206000,500.0
909,208000,500.0
913,210000,500.0
917,212000,500.0
921,214000,500.0
