episode,timestep,reward
83,2000,23.6747
167,4000,23.9762
284,6000,17.0342
403,8000,16.9496
582,10000,11.1899
763,12000,11.0884
966,14000,9.798
1171,16000,9.7902
1374,18000,9.8473
1582,20000,9.6346
1792,22000,9.5286
2002,24000,9.5143
2211,26000,9.5359
2423,28000,9.4434
2635,30000,9.467
