episode,timestep,reward
90,2000,22.0889
192,4000,19.5098
309,6000,17.188
412,8000,19.3592
576,10000,12.2317
741,12000,12.1515
945,14000,9.8039
1148,16000,9.8424
1358,18000,9.5381
1568,20000,9.5429
1777,22000,9.5359
1988,24000,9.4882
2197,26000,9.5837
2407,28000,9.4857
2622,30000,9.3302
2832,32000,9.5429
3042,34000,9.5048
