episode,timestep,reward
<<<<<<< HEAD
90,2000,22.1333
189,4000,19.9394
256,6000,30.0896
330,8000,27.1757
373,10000,45.0465
407,12000,58.2647
423,14000,116.875
440,16000,123.5882
451,18000,175.0
464,20000,168.3077
471,22000,258.2857
478,24000,290.0
=======
>>>>>>> my_mempool
