episode,timestep,reward
80,2000,24.6125
172,4000,21.7935
282,6000,18.3636
384,8000,19.598
549,10000,12.0909
715,12000,12.0843
917,14000,9.9109
1118,16000,9.9303
1327,18000,9.5837
1532,20000,9.7512
1741,22000,9.5694
1950,24000,9.5885
2160,26000,9.5286
2369,28000,9.5646
2580,30000,9.4834
2791,32000,9.4408
3004,34000,9.4272
3216,36000,9.4245
3429,38000,9.3568
3641,40000,9.4387
3854,42000,9.385
4067,44000,9.3944
4281,46000,9.3505
4493,48000,9.4623
4705,50000,9.4245
